n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.layer.best.quality.increase	xor._.hebbian.layer.best.quality.increase.min	xor._.hebbian.layer.best.quality.increase.max	xor._.hebbian.neuron.best.quality.increase	xor._.hebbian.neuron.best.quality.increase.min	xor._.hebbian.neuron.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
3.600e+03	4.134e-01	3.418e-01	4.690e-01	4.841e-01	4.358e-01	5.297e-01	9.181e-01	8.855e-01	9.414e-01	8.928e-01	8.436e-01	9.482e-01	5.552e-01	3.751e-01	6.815e-01
3.700e+03	4.301e-01	3.691e-01	4.739e-01	4.844e-01	4.573e-01	5.161e-01	9.123e-01	8.693e-01	9.426e-01	8.917e-01	8.192e-01	9.461e-01	5.522e-01	3.057e-01	6.618e-01
3.800e+03	4.067e-01	3.569e-01	4.688e-01	4.945e-01	4.241e-01	5.329e-01	9.232e-01	8.797e-01	9.429e-01	9.035e-01	8.438e-01	9.440e-01	5.561e-01	3.278e-01	6.787e-01
3.900e+03	4.517e-01	3.707e-01	4.613e-01	4.825e-01	4.516e-01	5.295e-01	9.280e-01	8.757e-01	9.549e-01	9.357e-01	7.783e-01	9.575e-01	4.850e-01	2.718e-01	6.148e-01
4.000e+03	4.212e-01	3.446e-01	4.508e-01	4.890e-01	4.481e-01	5.284e-01	9.220e-01	8.818e-01	9.537e-01	9.077e-01	8.797e-01	9.456e-01	5.250e-01	2.926e-01	7.438e-01
4.100e+03	4.165e-01	3.527e-01	4.572e-01	4.913e-01	4.329e-01	5.244e-01	9.188e-01	8.883e-01	9.464e-01	9.155e-01	8.824e-01	9.368e-01	5.730e-01	3.769e-01	7.254e-01
4.200e+03	3.975e-01	3.424e-01	4.554e-01	4.820e-01	4.339e-01	5.168e-01	9.281e-01	8.962e-01	9.682e-01	8.993e-01	8.103e-01	9.287e-01	5.237e-01	2.753e-01	6.523e-01
4.300e+03	4.277e-01	3.799e-01	4.716e-01	5.053e-01	4.525e-01	5.348e-01	9.138e-01	8.596e-01	9.536e-01	9.043e-01	8.706e-01	9.408e-01	5.376e-01	3.251e-01	6.297e-01
4.400e+03	4.169e-01	3.305e-01	4.650e-01	4.848e-01	4.389e-01	5.220e-01	9.138e-01	8.786e-01	9.597e-01	9.149e-01	8.577e-01	9.411e-01	5.244e-01	2.923e-01	6.737e-01
4.500e+03	3.913e-01	3.517e-01	4.424e-01	4.836e-01	4.461e-01	5.162e-01	9.130e-01	8.846e-01	9.336e-01	9.069e-01	8.310e-01	9.418e-01	5.245e-01	2.920e-01	6.656e-01
4.600e+03	3.922e-01	3.396e-01	4.322e-01	4.919e-01	4.605e-01	5.165e-01	9.036e-01	8.301e-01	9.331e-01	9.044e-01	8.134e-01	9.400e-01	5.749e-01	3.165e-01	6.750e-01
4.700e+03	3.989e-01	3.431e-01	4.389e-01	4.848e-01	4.492e-01	5.292e-01	9.195e-01	8.868e-01	9.479e-01	9.294e-01	7.825e-01	9.448e-01	6.217e-01	3.770e-01	7.704e-01
4.800e+03	3.822e-01	3.357e-01	4.177e-01	5.038e-01	4.584e-01	5.204e-01	9.144e-01	8.638e-01	9.345e-01	9.272e-01	8.985e-01	9.621e-01	5.954e-01	2.716e-01	6.808e-01
4.900e+03	4.025e-01	2.959e-01	4.540e-01	4.920e-01	4.324e-01	5.266e-01	9.214e-01	8.330e-01	9.406e-01	9.193e-01	8.571e-01	9.422e-01	5.642e-01	2.917e-01	7.505e-01
5.000e+03	4.172e-01	3.452e-01	4.572e-01	4.914e-01	4.223e-01	5.132e-01	8.818e-01	8.492e-01	9.464e-01	8.834e-01	8.505e-01	9.371e-01	5.049e-01	3.199e-01	6.769e-01
5.100e+03	4.146e-01	2.954e-01	4.698e-01	5.048e-01	4.467e-01	5.161e-01	9.093e-01	8.600e-01	9.325e-01	8.974e-01	8.367e-01	9.579e-01	5.451e-01	3.495e-01	6.558e-01
5.200e+03	4.014e-01	3.571e-01	4.419e-01	4.701e-01	4.350e-01	5.009e-01	9.225e-01	8.476e-01	9.364e-01	9.153e-01	8.234e-01	9.298e-01	5.642e-01	3.749e-01	6.820e-01
