n.evals.q.1.0.	xor._.hebbian.network.best.quality.inconsistency	xor._.hebbian.network.best.quality.inconsistency.min	xor._.hebbian.network.best.quality.inconsistency.max	xor._.hebbian.layer.best.quality.inconsistency	xor._.hebbian.layer.best.quality.inconsistency.min	xor._.hebbian.layer.best.quality.inconsistency.max	xor._.hebbian.neuron.best.quality.inconsistency	xor._.hebbian.neuron.best.quality.inconsistency.min	xor._.hebbian.neuron.best.quality.inconsistency.max	xor._.hebbian.synapse.best.quality.inconsistency	xor._.hebbian.synapse.best.quality.inconsistency.min	xor._.hebbian.synapse.best.quality.inconsistency.max	xor._.freeForm.best.quality.inconsistency	xor._.freeForm.best.quality.inconsistency.min	xor._.freeForm.best.quality.inconsistency.max
9.300e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	3.846e-03	2.358e-06	5.044e-02	6.520e-05	2.664e-06	5.858e-03	6.599e-01	1.927e-06	7.166e-01
9.400e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	9.068e-04	6.750e-06	3.800e-02	2.669e-03	9.194e-07	2.991e-02	6.599e-01	2.502e-05	7.166e-01
9.500e+03	8.930e-01	8.926e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	1.978e-04	6.443e-06	7.715e-03	5.390e-05	1.482e-07	1.329e-03	6.599e-01	1.541e-05	7.170e-01
9.600e+03	8.930e-01	8.151e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	5.790e-04	1.030e-05	5.799e-03	4.893e-04	1.127e-06	1.268e-02	6.599e-01	7.299e-08	7.170e-01
9.700e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	8.489e-05	2.673e-07	1.892e-02	1.831e-05	6.674e-07	3.891e-04	6.599e-01	2.666e-07	7.166e-01
9.800e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.659e-01	8.660e-01	7.413e-04	1.127e-06	5.631e-02	1.583e-04	2.477e-06	6.580e-03	6.002e-01	1.046e-04	7.170e-01
9.900e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	2.788e-04	1.855e-05	5.211e-03	1.967e-04	2.398e-06	1.443e-02	6.002e-01	8.422e-07	7.170e-01
1.000e+04	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	7.453e-05	3.610e-07	2.587e-03	1.676e-04	7.314e-07	7.362e-03	6.002e-01	2.674e-06	7.166e-01
1.010e+04	8.930e-01	8.929e-01	8.930e-01	8.660e-01	8.659e-01	8.660e-01	2.354e-03	1.177e-06	5.893e-02	5.512e-04	1.308e-05	6.457e-03	6.002e-01	2.666e-07	7.170e-01
1.020e+04	8.930e-01	8.926e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	4.902e-04	2.847e-06	2.560e-02	2.144e-05	8.690e-07	1.460e-02	6.002e-01	2.666e-07	7.166e-01
1.030e+04	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	2.354e-03	2.682e-05	2.678e-02	1.511e-04	8.497e-06	4.684e-04	6.002e-01	1.459e-04	7.166e-01
1.040e+04	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	1.598e-04	5.253e-07	1.137e-02	1.158e-05	3.164e-07	1.390e-03	6.002e-01	2.666e-07	7.166e-01
1.050e+04	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	2.731e-03	1.253e-05	5.040e-02	2.705e-04	2.758e-06	4.113e-03	6.002e-01	5.686e-06	7.170e-01
1.060e+04	8.930e-01	8.905e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	5.852e-04	2.469e-05	2.545e-02	5.170e-04	8.934e-06	4.544e-02	6.002e-01	2.666e-07	7.170e-01
1.070e+04	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	8.041e-04	3.629e-06	1.090e-02	5.208e-05	1.204e-07	5.864e-04	6.002e-01	2.670e-07	7.166e-01
1.080e+04	8.930e-01	8.922e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	2.552e-04	8.119e-07	1.084e-02	1.865e-04	4.537e-06	8.136e-03	6.002e-01	7.889e-08	7.170e-01
1.090e+04	8.930e-01	8.927e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	2.255e-04	5.050e-06	7.918e-03	1.841e-04	1.301e-06	3.679e-03	6.002e-01	6.489e-08	7.166e-01
1.100e+04	8.930e-01	8.928e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	2.026e-04	1.453e-07	1.088e-02	5.234e-05	4.341e-07	4.648e-03	6.002e-01	2.954e-05	7.170e-01
