n.evals.q.1.0.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
3.100e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.955e-01	5.000e-01	9.977e-01	9.625e-01	9.999e-01	9.745e-01	8.364e-01	9.949e-01	5.000e-01	5.000e-01	9.983e-01
3.200e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.980e-01	5.000e-01	9.977e-01	9.774e-01	9.999e-01	9.392e-01	8.583e-01	9.888e-01	5.000e-01	5.000e-01	9.993e-01
3.300e+03	5.000e-01	4.881e-01	5.000e-01	5.000e-01	4.999e-01	5.000e-01	9.982e-01	9.377e-01	9.999e-01	9.855e-01	8.193e-01	9.993e-01	5.000e-01	5.000e-01	1.000e+00
3.400e+03	5.000e-01	4.978e-01	5.000e-01	5.000e-01	4.999e-01	5.000e-01	9.998e-01	9.807e-01	1.000e+00	9.523e-01	8.389e-01	9.890e-01	5.000e-01	5.000e-01	1.000e+00
3.500e+03	5.000e-01	4.998e-01	5.000e-01	5.000e-01	4.998e-01	5.000e-01	9.897e-01	8.922e-01	9.998e-01	9.652e-01	9.054e-01	9.992e-01	5.000e-01	5.000e-01	1.000e+00
3.600e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.999e-01	5.000e-01	9.965e-01	9.573e-01	1.000e+00	9.944e-01	9.247e-01	9.999e-01	5.000e-01	5.000e-01	1.000e+00
3.700e+03	5.000e-01	4.994e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.996e-01	9.793e-01	9.999e-01	9.713e-01	8.516e-01	9.999e-01	5.000e-01	5.000e-01	1.000e+00
3.800e+03	5.000e-01	4.542e-01	5.000e-01	5.000e-01	4.993e-01	5.000e-01	9.998e-01	9.565e-01	1.000e+00	9.702e-01	9.094e-01	9.986e-01	5.000e-01	5.000e-01	9.993e-01
3.900e+03	5.000e-01	4.998e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.984e-01	9.571e-01	1.000e+00	9.906e-01	8.895e-01	9.986e-01	5.000e-01	5.000e-01	1.000e+00
4.000e+03	5.000e-01	4.408e-01	5.000e-01	5.000e-01	4.995e-01	5.000e-01	9.981e-01	9.681e-01	1.000e+00	9.965e-01	9.470e-01	9.995e-01	5.000e-01	5.000e-01	1.000e+00
4.100e+03	5.000e-01	4.998e-01	5.000e-01	5.000e-01	4.979e-01	5.000e-01	9.959e-01	9.678e-01	9.999e-01	9.964e-01	9.718e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
