n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.inconsistency	xor._.me.hebbian.network.best.quality.inconsistency.min	xor._.me.hebbian.network.best.quality.inconsistency.max	xor._.me.hebbian.layer.best.quality.inconsistency	xor._.me.hebbian.layer.best.quality.inconsistency.min	xor._.me.hebbian.layer.best.quality.inconsistency.max	xor._.me.hebbian.neuron.best.quality.inconsistency	xor._.me.hebbian.neuron.best.quality.inconsistency.min	xor._.me.hebbian.neuron.best.quality.inconsistency.max	xor._.me.hebbian.synapse.best.quality.inconsistency	xor._.me.hebbian.synapse.best.quality.inconsistency.min	xor._.me.hebbian.synapse.best.quality.inconsistency.max	xor._.me.freeForm.best.quality.inconsistency	xor._.me.freeForm.best.quality.inconsistency.min	xor._.me.freeForm.best.quality.inconsistency.max
5.700e+03	4.600e-01	4.309e-01	7.928e-01	3.907e-01	2.085e-01	4.408e-01	2.376e-01	2.218e-01	3.076e-01	2.952e-01	2.348e-01	3.761e-01	1.952e-01	1.669e-07	2.511e-01
5.800e+03	4.600e-01	4.309e-01	7.928e-01	3.907e-01	2.085e-01	4.408e-01	2.376e-01	2.218e-01	3.076e-01	2.952e-01	2.348e-01	3.761e-01	1.952e-01	1.669e-07	2.511e-01
5.900e+03	4.600e-01	4.309e-01	7.928e-01	3.907e-01	2.085e-01	4.408e-01	2.376e-01	2.218e-01	3.076e-01	2.898e-01	2.348e-01	3.761e-01	1.952e-01	1.669e-07	2.511e-01
6.000e+03	4.600e-01	4.309e-01	7.928e-01	3.907e-01	2.085e-01	4.408e-01	2.376e-01	2.218e-01	3.076e-01	2.871e-01	2.313e-01	3.761e-01	1.972e-01	1.927e-06	2.787e-01
6.100e+03	4.600e-01	4.308e-01	7.928e-01	3.907e-01	2.085e-01	4.408e-01	2.376e-01	2.218e-01	3.076e-01	2.871e-01	2.313e-01	3.761e-01	1.998e-01	1.927e-06	2.787e-01
6.200e+03	4.600e-01	4.308e-01	7.928e-01	3.907e-01	2.085e-01	4.408e-01	2.376e-01	2.218e-01	3.076e-01	2.871e-01	2.313e-01	3.761e-01	2.000e-01	2.674e-06	2.787e-01
6.300e+03	4.600e-01	4.308e-01	7.928e-01	3.907e-01	2.085e-01	4.408e-01	2.360e-01	2.198e-01	3.076e-01	2.848e-01	2.266e-01	3.716e-01	2.000e-01	2.674e-06	2.787e-01
6.400e+03	4.600e-01	4.308e-01	7.928e-01	3.907e-01	2.309e-01	4.408e-01	2.360e-01	2.198e-01	3.076e-01	2.848e-01	2.266e-01	3.716e-01	2.000e-01	2.674e-06	2.787e-01
6.500e+03	4.600e-01	4.308e-01	7.928e-01	3.907e-01	2.309e-01	4.408e-01	2.360e-01	2.198e-01	3.076e-01	2.848e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
6.600e+03	4.600e-01	4.308e-01	7.928e-01	3.907e-01	2.309e-01	4.408e-01	2.360e-01	2.198e-01	3.076e-01	2.848e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
6.700e+03	4.600e-01	4.308e-01	7.928e-01	3.907e-01	2.309e-01	4.408e-01	2.360e-01	2.154e-01	3.076e-01	2.848e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
6.800e+03	4.318e-01	4.308e-01	7.290e-01	3.907e-01	2.309e-01	4.408e-01	2.360e-01	2.154e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
6.900e+03	4.318e-01	4.308e-01	7.290e-01	3.907e-01	2.309e-01	4.408e-01	2.360e-01	2.154e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
7.000e+03	4.318e-01	4.308e-01	7.290e-01	3.907e-01	2.309e-01	4.408e-01	2.360e-01	2.154e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
7.100e+03	4.318e-01	4.308e-01	7.290e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.154e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
7.200e+03	4.318e-01	4.308e-01	7.290e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.154e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
7.300e+03	4.318e-01	4.308e-01	7.290e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.154e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
7.400e+03	4.318e-01	4.308e-01	7.290e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.154e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
7.500e+03	4.318e-01	4.308e-01	7.290e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.154e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
7.600e+03	4.318e-01	4.308e-01	7.290e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.154e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
7.700e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.154e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
7.800e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.154e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
7.900e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
8.000e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
8.100e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
8.200e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
8.300e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.827e-01	2.266e-01	3.716e-01	2.000e-01	7.721e-04	2.787e-01
8.400e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.714e-01	2.200e-01	3.255e-01	1.998e-01	7.721e-04	2.511e-01
8.500e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.598e-01	2.187e-01	3.255e-01	1.998e-01	7.721e-04	2.511e-01
8.600e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.598e-01	2.187e-01	3.255e-01	1.998e-01	7.721e-04	2.511e-01
8.700e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.598e-01	2.187e-01	3.255e-01	1.998e-01	8.854e-04	2.511e-01
8.800e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.598e-01	2.187e-01	3.255e-01	1.998e-01	5.403e-03	2.511e-01
8.900e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.598e-01	2.187e-01	3.255e-01	1.998e-01	5.403e-03	2.511e-01
9.000e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.714e-01	2.200e-01	3.433e-01	1.998e-01	5.403e-03	2.530e-01
9.100e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.714e-01	2.200e-01	3.433e-01	1.998e-01	5.403e-03	2.787e-01
9.200e+03	4.316e-01	4.308e-01	7.120e-01	4.046e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.714e-01	2.200e-01	3.433e-01	1.998e-01	5.403e-03	2.787e-01
9.300e+03	4.316e-01	4.308e-01	7.120e-01	4.060e-01	2.356e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.714e-01	2.200e-01	3.433e-01	1.998e-01	5.403e-03	2.787e-01
9.400e+03	4.316e-01	4.308e-01	7.120e-01	4.060e-01	2.309e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.714e-01	2.200e-01	3.433e-01	1.998e-01	5.403e-03	2.787e-01
9.500e+03	4.316e-01	4.308e-01	7.120e-01	4.060e-01	2.309e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.714e-01	2.187e-01	3.433e-01	1.998e-01	5.403e-03	2.787e-01
9.600e+03	4.315e-01	4.308e-01	5.769e-01	4.060e-01	2.309e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.714e-01	2.187e-01	3.433e-01	1.998e-01	5.403e-03	2.787e-01
9.700e+03	4.315e-01	4.308e-01	5.769e-01	4.060e-01	2.309e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.714e-01	2.187e-01	3.433e-01	1.998e-01	5.403e-03	3.361e-01
9.800e+03	4.315e-01	4.308e-01	5.769e-01	4.060e-01	2.309e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.714e-01	2.187e-01	3.433e-01	1.998e-01	5.403e-03	3.361e-01
9.900e+03	4.316e-01	4.308e-01	5.769e-01	4.060e-01	2.309e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.714e-01	2.187e-01	3.433e-01	1.998e-01	5.403e-03	3.361e-01
1.000e+04	4.316e-01	4.308e-01	5.769e-01	4.060e-01	2.309e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.714e-01	2.187e-01	3.433e-01	1.998e-01	5.403e-03	3.361e-01
1.010e+04	4.316e-01	4.308e-01	5.769e-01	4.060e-01	2.309e-01	4.408e-01	2.360e-01	2.142e-01	3.076e-01	2.714e-01	2.187e-01	3.433e-01	1.998e-01	5.403e-03	3.361e-01
