n.evals.q.1.0.	nav.lives._.me.mlp.best.quality.inconsistency	nav.lives._.me.mlp.best.quality.inconsistency.min	nav.lives._.me.mlp.best.quality.inconsistency.max
3.370e+04	4.157e-05	1.826e-05	1.524e-04
3.380e+04	4.157e-05	1.826e-05	1.524e-04
3.390e+04	4.157e-05	1.826e-05	1.524e-04
3.400e+04	4.157e-05	1.826e-05	1.524e-04
3.410e+04	4.157e-05	1.826e-05	1.524e-04
3.420e+04	4.157e-05	1.826e-05	1.524e-04
3.430e+04	4.157e-05	1.826e-05	1.524e-04
3.440e+04	4.157e-05	1.826e-05	1.524e-04
3.450e+04	4.157e-05	1.826e-05	1.524e-04
3.460e+04	4.157e-05	1.826e-05	1.524e-04
3.470e+04	4.157e-05	1.826e-05	1.524e-04
3.480e+04	4.157e-05	1.826e-05	1.524e-04
3.490e+04	4.157e-05	1.826e-05	1.524e-04
3.500e+04	4.157e-05	1.826e-05	1.524e-04
3.510e+04	4.157e-05	1.826e-05	1.524e-04
3.520e+04	4.157e-05	1.826e-05	1.524e-04
3.530e+04	4.157e-05	1.826e-05	1.524e-04
3.540e+04	4.157e-05	1.826e-05	1.524e-04
3.550e+04	4.157e-05	1.826e-05	1.524e-04
3.560e+04	4.157e-05	1.826e-05	1.524e-04
3.570e+04	4.157e-05	1.826e-05	1.524e-04
3.580e+04	4.157e-05	1.826e-05	1.524e-04
3.590e+04	4.157e-05	1.826e-05	1.524e-04
3.600e+04	4.157e-05	1.826e-05	1.524e-04
3.610e+04	4.157e-05	1.826e-05	1.524e-04
3.620e+04	4.157e-05	1.826e-05	1.524e-04
3.630e+04	4.157e-05	1.826e-05	1.524e-04
3.640e+04	4.157e-05	1.826e-05	1.524e-04
3.650e+04	4.157e-05	1.826e-05	1.524e-04
3.660e+04	4.157e-05	1.826e-05	1.524e-04
3.670e+04	4.157e-05	1.826e-05	1.524e-04
3.680e+04	4.157e-05	1.826e-05	1.524e-04
3.690e+04	4.157e-05	1.826e-05	1.524e-04
3.700e+04	4.157e-05	1.826e-05	1.524e-04
3.710e+04	4.157e-05	1.826e-05	1.524e-04
3.720e+04	4.157e-05	1.826e-05	1.524e-04
3.730e+04	4.157e-05	1.826e-05	1.524e-04
3.740e+04	4.157e-05	1.826e-05	1.524e-04
3.750e+04	4.157e-05	1.826e-05	1.524e-04
3.760e+04	4.157e-05	1.826e-05	1.524e-04
3.770e+04	4.157e-05	1.826e-05	1.524e-04
3.780e+04	4.157e-05	1.826e-05	1.524e-04
3.790e+04	4.157e-05	1.826e-05	1.524e-04
3.800e+04	4.157e-05	1.826e-05	1.524e-04
3.810e+04	4.157e-05	1.826e-05	1.524e-04
3.820e+04	4.157e-05	1.826e-05	1.524e-04
3.830e+04	4.157e-05	1.826e-05	1.524e-04
3.840e+04	4.157e-05	1.826e-05	1.524e-04
3.850e+04	4.157e-05	1.826e-05	1.524e-04
3.860e+04	4.157e-05	1.826e-05	1.524e-04
3.870e+04	4.157e-05	1.826e-05	1.524e-04
3.880e+04	4.157e-05	1.826e-05	1.524e-04
3.890e+04	4.157e-05	1.826e-05	1.524e-04
3.900e+04	4.157e-05	1.826e-05	1.524e-04
3.910e+04	4.157e-05	1.826e-05	1.524e-04
3.920e+04	4.157e-05	1.826e-05	1.524e-04
3.930e+04	4.157e-05	1.826e-05	1.524e-04
3.940e+04	4.157e-05	1.826e-05	1.524e-04
3.950e+04	4.157e-05	1.826e-05	1.524e-04
3.960e+04	4.157e-05	1.826e-05	1.524e-04
3.970e+04	4.157e-05	1.826e-05	1.524e-04
3.980e+04	4.157e-05	1.826e-05	1.524e-04
3.990e+04	4.157e-05	1.826e-05	1.524e-04
4.000e+04	4.157e-05	1.826e-05	1.524e-04
