n.evals.q.1.0.	nav.lives._.me.hebbian.neuron.best.quality.inconsistency	nav.lives._.me.hebbian.neuron.best.quality.inconsistency.min	nav.lives._.me.hebbian.neuron.best.quality.inconsistency.max	nav.lives._.me.freeForm.best.quality.inconsistency	nav.lives._.me.freeForm.best.quality.inconsistency.min	nav.lives._.me.freeForm.best.quality.inconsistency.max
5.500e+03	4.659e-01	4.613e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
5.600e+03	4.774e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
5.700e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
5.800e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
5.900e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
6.000e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
6.100e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
6.200e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
6.300e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
6.400e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
6.500e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
6.600e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
6.700e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
6.800e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
6.900e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
7.000e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
7.100e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
7.200e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
7.300e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
7.400e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
7.500e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
7.600e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
7.700e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
7.800e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
7.900e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	7.922e-04	4.712e-01
8.000e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	7.922e-04	4.712e-01
8.100e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	7.922e-04	4.712e-01
8.200e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	7.922e-04	4.712e-01
8.300e+03	4.824e-01	4.659e-01	4.996e-01	4.634e-01	7.922e-04	4.712e-01
8.400e+03	4.824e-01	4.659e-01	4.996e-01	4.712e-01	7.922e-04	4.728e-01
8.500e+03	4.824e-01	4.659e-01	4.996e-01	4.712e-01	7.922e-04	4.728e-01
8.600e+03	4.824e-01	4.659e-01	4.996e-01	4.712e-01	7.922e-04	4.728e-01
8.700e+03	4.824e-01	4.659e-01	4.996e-01	4.712e-01	7.922e-04	4.728e-01
8.800e+03	4.824e-01	4.659e-01	4.996e-01	4.712e-01	7.922e-04	4.728e-01
8.900e+03	4.659e-01	4.613e-01	4.996e-01	4.712e-01	7.922e-04	4.728e-01
9.000e+03	4.659e-01	4.613e-01	4.996e-01	4.712e-01	7.922e-04	4.728e-01
9.100e+03	4.659e-01	4.613e-01	4.996e-01	4.712e-01	7.922e-04	4.728e-01
9.200e+03	4.659e-01	4.613e-01	4.996e-01	4.712e-01	7.922e-04	4.728e-01
9.300e+03	4.659e-01	4.613e-01	4.995e-01	4.712e-01	7.922e-04	4.728e-01
9.400e+03	4.659e-01	4.613e-01	4.995e-01	4.712e-01	7.922e-04	4.728e-01
