problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→maturePerformance;best→quality→increase;best→quality→inconsistency
nav-lives;me-hebbian-neuron;1;[8];23;2300;2300;3.49600e+01;26;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];24;2400;2400;3.56710e+01;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];24;2400;2400;3.63610e+01;26;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];25;2500;2500;3.71380e+01;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];25;2500;2500;3.78890e+01;26;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];26;2600;2600;3.84540e+01;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];26;2600;2600;3.92520e+01;28;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];27;2700;2700;3.98920e+01;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];27;2700;2700;4.05770e+01;28;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];28;2800;2800;4.12670e+01;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];28;2800;2800;4.20240e+01;28;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];29;2900;2900;4.27360e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];29;2900;2900;4.35690e+01;28;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
