n.evals.q.1.0.	parity._.me.hebbian.network.best.quality.inconsistency	parity._.me.hebbian.network.best.quality.inconsistency.min	parity._.me.hebbian.network.best.quality.inconsistency.max	parity._.me.hebbian.layer.best.quality.inconsistency	parity._.me.hebbian.layer.best.quality.inconsistency.min	parity._.me.hebbian.layer.best.quality.inconsistency.max	parity._.me.hebbian.neuron.best.quality.inconsistency	parity._.me.hebbian.neuron.best.quality.inconsistency.min	parity._.me.hebbian.neuron.best.quality.inconsistency.max	parity._.me.hebbian.synapse.best.quality.inconsistency	parity._.me.hebbian.synapse.best.quality.inconsistency.min	parity._.me.hebbian.synapse.best.quality.inconsistency.max	parity._.me.freeForm.best.quality.inconsistency	parity._.me.freeForm.best.quality.inconsistency.min	parity._.me.freeForm.best.quality.inconsistency.max
4.500e+03	9.532e-01	6.912e-01	9.626e-01	2.753e-01	1.931e-01	4.118e-01	2.788e-01	2.160e-01	3.951e-01	6.722e-01	4.377e-01	7.635e-01	8.424e-01	8.021e-01	8.760e-01
4.600e+03	9.532e-01	6.912e-01	9.626e-01	2.753e-01	1.931e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.722e-01	4.377e-01	7.635e-01	8.424e-01	8.021e-01	8.760e-01
4.700e+03	9.532e-01	6.912e-01	9.626e-01	2.753e-01	1.931e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.722e-01	4.377e-01	7.635e-01	8.524e-01	8.100e-01	8.765e-01
4.800e+03	9.532e-01	6.912e-01	9.626e-01	2.793e-01	1.938e-01	4.530e-01	2.852e-01	2.235e-01	4.230e-01	6.722e-01	4.377e-01	7.376e-01	8.513e-01	8.100e-01	8.765e-01
4.900e+03	9.532e-01	6.912e-01	9.626e-01	2.793e-01	1.975e-01	4.530e-01	2.852e-01	2.235e-01	4.230e-01	6.632e-01	4.377e-01	7.635e-01	8.513e-01	8.100e-01	8.765e-01
5.000e+03	9.532e-01	6.912e-01	9.626e-01	2.753e-01	1.938e-01	4.530e-01	2.788e-01	2.160e-01	4.187e-01	6.632e-01	4.377e-01	7.635e-01	8.513e-01	8.100e-01	8.765e-01
5.100e+03	9.532e-01	6.912e-01	9.626e-01	2.753e-01	1.938e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.632e-01	4.377e-01	7.635e-01	8.406e-01	8.047e-01	8.765e-01
5.200e+03	9.532e-01	6.912e-01	9.626e-01	2.623e-01	1.938e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.632e-01	4.377e-01	7.635e-01	8.406e-01	8.047e-01	8.765e-01
5.300e+03	9.532e-01	6.912e-01	9.626e-01	2.753e-01	1.938e-01	4.530e-01	3.063e-01	2.235e-01	4.230e-01	6.632e-01	4.377e-01	7.635e-01	8.406e-01	8.047e-01	8.658e-01
5.400e+03	9.532e-01	6.912e-01	9.626e-01	2.623e-01	1.931e-01	4.283e-01	3.063e-01	2.235e-01	4.230e-01	6.561e-01	4.377e-01	7.376e-01	8.406e-01	8.047e-01	8.658e-01
5.500e+03	9.532e-01	6.912e-01	9.626e-01	2.753e-01	1.931e-01	4.283e-01	3.063e-01	2.235e-01	4.230e-01	6.472e-01	4.234e-01	7.376e-01	8.406e-01	8.047e-01	8.658e-01
5.600e+03	9.532e-01	6.912e-01	9.626e-01	2.753e-01	1.931e-01	4.283e-01	3.063e-01	2.235e-01	4.230e-01	6.472e-01	4.234e-01	7.234e-01	8.406e-01	8.047e-01	8.658e-01
5.700e+03	9.532e-01	6.912e-01	9.626e-01	2.753e-01	1.931e-01	4.283e-01	3.063e-01	2.235e-01	4.230e-01	6.472e-01	4.234e-01	7.234e-01	8.406e-01	8.047e-01	8.658e-01
5.800e+03	9.532e-01	6.912e-01	9.626e-01	2.753e-01	1.931e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.472e-01	4.234e-01	7.234e-01	8.406e-01	8.047e-01	8.658e-01
5.900e+03	9.532e-01	6.912e-01	9.626e-01	2.753e-01	1.931e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.472e-01	4.234e-01	7.234e-01	8.406e-01	8.047e-01	8.658e-01
6.000e+03	9.532e-01	6.669e-01	9.626e-01	2.753e-01	1.931e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.281e-01	4.234e-01	7.234e-01	8.406e-01	8.047e-01	8.658e-01
6.100e+03	9.532e-01	6.669e-01	9.626e-01	2.753e-01	1.931e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.213e-01	4.064e-01	6.906e-01	8.406e-01	8.047e-01	8.658e-01
6.200e+03	9.532e-01	6.669e-01	9.626e-01	2.753e-01	1.931e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.213e-01	4.064e-01	6.906e-01	8.406e-01	8.047e-01	8.658e-01
6.300e+03	9.532e-01	6.669e-01	9.626e-01	2.753e-01	1.931e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.213e-01	4.200e-01	6.906e-01	8.268e-01	8.047e-01	8.658e-01
6.400e+03	9.427e-01	6.669e-01	9.626e-01	2.753e-01	1.910e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.211e-01	4.064e-01	6.841e-01	8.406e-01	8.047e-01	8.658e-01
6.500e+03	9.427e-01	6.669e-01	9.626e-01	2.753e-01	1.881e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.211e-01	4.064e-01	6.841e-01	8.406e-01	8.047e-01	8.658e-01
6.600e+03	9.427e-01	6.669e-01	9.626e-01	2.753e-01	1.881e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.213e-01	4.200e-01	7.234e-01	8.406e-01	8.047e-01	8.658e-01
6.700e+03	9.427e-01	6.669e-01	9.626e-01	2.753e-01	1.881e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.213e-01	4.064e-01	7.234e-01	8.406e-01	8.047e-01	8.658e-01
6.800e+03	9.427e-01	6.669e-01	9.626e-01	2.623e-01	1.877e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.213e-01	4.064e-01	7.234e-01	8.406e-01	8.047e-01	8.658e-01
6.900e+03	9.427e-01	6.669e-01	9.626e-01	2.623e-01	1.877e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.211e-01	4.064e-01	6.841e-01	8.406e-01	8.047e-01	8.658e-01
7.000e+03	9.352e-01	6.669e-01	9.626e-01	2.623e-01	1.877e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.211e-01	4.064e-01	6.841e-01	8.406e-01	8.047e-01	8.658e-01
7.100e+03	9.352e-01	6.669e-01	9.626e-01	2.623e-01	1.877e-01	4.530e-01	2.852e-01	2.235e-01	4.187e-01	6.211e-01	4.064e-01	6.841e-01	8.406e-01	8.047e-01	8.658e-01
7.200e+03	9.352e-01	6.669e-01	9.626e-01	2.922e-01	1.910e-01	4.719e-01	2.852e-01	2.235e-01	4.187e-01	6.155e-01	4.064e-01	6.823e-01	8.406e-01	8.021e-01	8.658e-01
7.300e+03	9.352e-01	6.669e-01	9.626e-01	2.936e-01	1.961e-01	4.882e-01	2.852e-01	2.235e-01	4.187e-01	6.155e-01	4.064e-01	6.823e-01	8.406e-01	8.021e-01	8.658e-01
7.400e+03	9.352e-01	6.669e-01	9.626e-01	2.922e-01	1.900e-01	4.882e-01	2.852e-01	2.235e-01	4.187e-01	6.155e-01	4.064e-01	6.841e-01	8.268e-01	7.970e-01	8.623e-01
7.500e+03	9.352e-01	6.669e-01	9.626e-01	2.922e-01	1.900e-01	4.882e-01	2.852e-01	2.254e-01	4.187e-01	6.155e-01	4.064e-01	6.841e-01	8.268e-01	7.968e-01	8.623e-01
7.600e+03	9.352e-01	6.669e-01	9.626e-01	2.922e-01	1.961e-01	4.882e-01	2.852e-01	2.254e-01	4.187e-01	5.614e-01	4.064e-01	6.823e-01	8.268e-01	7.968e-01	8.537e-01
7.700e+03	9.352e-01	6.669e-01	9.626e-01	2.922e-01	1.961e-01	4.882e-01	2.852e-01	2.254e-01	4.187e-01	5.614e-01	4.064e-01	6.823e-01	8.268e-01	7.968e-01	8.537e-01
7.800e+03	9.002e-01	6.669e-01	9.626e-01	2.922e-01	1.961e-01	4.882e-01	2.852e-01	2.254e-01	4.187e-01	5.614e-01	4.064e-01	6.722e-01	8.268e-01	7.968e-01	8.537e-01
7.900e+03	9.002e-01	6.669e-01	9.626e-01	2.922e-01	1.961e-01	4.882e-01	2.852e-01	2.254e-01	4.187e-01	5.614e-01	4.200e-01	6.722e-01	8.268e-01	7.968e-01	8.537e-01
8.000e+03	9.002e-01	6.669e-01	9.626e-01	2.936e-01	1.975e-01	5.300e-01	2.852e-01	2.254e-01	4.187e-01	5.614e-01	4.064e-01	6.722e-01	8.268e-01	7.968e-01	8.537e-01
8.100e+03	9.002e-01	6.669e-01	9.626e-01	2.936e-01	1.975e-01	5.300e-01	3.063e-01	2.254e-01	4.187e-01	5.614e-01	4.064e-01	6.722e-01	8.258e-01	7.801e-01	8.537e-01
8.200e+03	9.002e-01	6.669e-01	9.626e-01	2.936e-01	1.975e-01	5.300e-01	3.063e-01	2.254e-01	4.187e-01	5.364e-01	4.064e-01	6.722e-01	8.258e-01	7.801e-01	8.537e-01
8.300e+03	9.002e-01	6.669e-01	9.626e-01	2.936e-01	1.975e-01	5.300e-01	3.063e-01	2.254e-01	4.187e-01	5.364e-01	4.064e-01	6.722e-01	8.258e-01	7.801e-01	8.537e-01
8.400e+03	9.002e-01	6.669e-01	9.626e-01	4.279e-01	2.026e-01	5.300e-01	3.063e-01	2.254e-01	4.187e-01	5.364e-01	4.064e-01	6.722e-01	8.258e-01	7.801e-01	8.537e-01
8.500e+03	8.999e-01	6.468e-01	9.626e-01	4.280e-01	2.026e-01	5.300e-01	3.063e-01	2.254e-01	4.187e-01	5.364e-01	4.064e-01	6.561e-01	8.258e-01	7.801e-01	8.537e-01
8.600e+03	8.999e-01	6.468e-01	9.626e-01	4.280e-01	2.026e-01	5.300e-01	3.063e-01	2.254e-01	4.187e-01	5.364e-01	4.064e-01	6.561e-01	8.258e-01	7.801e-01	8.537e-01
8.700e+03	8.394e-01	5.929e-01	9.626e-01	4.280e-01	1.975e-01	5.300e-01	3.063e-01	2.254e-01	4.187e-01	5.364e-01	4.064e-01	6.561e-01	8.258e-01	7.801e-01	8.537e-01
8.800e+03	8.394e-01	5.929e-01	9.626e-01	4.280e-01	1.975e-01	5.300e-01	3.063e-01	2.254e-01	4.187e-01	5.364e-01	4.064e-01	6.561e-01	8.258e-01	7.801e-01	8.537e-01
8.900e+03	8.394e-01	5.929e-01	9.626e-01	4.279e-01	1.975e-01	5.300e-01	3.063e-01	2.254e-01	4.187e-01	5.364e-01	4.064e-01	6.561e-01	8.258e-01	7.801e-01	8.537e-01
9.000e+03	8.394e-01	5.929e-01	9.626e-01	4.279e-01	1.975e-01	5.300e-01	3.063e-01	2.254e-01	4.187e-01	5.364e-01	4.064e-01	6.484e-01	8.258e-01	7.801e-01	8.537e-01
9.100e+03	8.394e-01	5.929e-01	9.626e-01	4.279e-01	1.975e-01	5.300e-01	3.063e-01	2.254e-01	4.187e-01	5.364e-01	4.064e-01	6.484e-01	8.258e-01	7.801e-01	8.537e-01
9.200e+03	8.394e-01	5.929e-01	9.626e-01	4.279e-01	1.975e-01	5.300e-01	3.063e-01	2.254e-01	4.187e-01	5.364e-01	4.064e-01	6.484e-01	8.258e-01	7.801e-01	8.537e-01
9.300e+03	8.394e-01	5.929e-01	9.626e-01	4.279e-01	1.975e-01	5.300e-01	3.063e-01	2.254e-01	4.187e-01	5.364e-01	4.064e-01	6.561e-01	8.258e-01	7.801e-01	8.537e-01
9.400e+03	8.394e-01	5.929e-01	9.626e-01	4.081e-01	1.975e-01	4.719e-01	3.063e-01	2.254e-01	4.187e-01	5.364e-01	4.064e-01	6.561e-01	8.180e-01	7.634e-01	8.537e-01
