n.evals.q.1.0.	parity._.me.hebbian.network.best.quality.increase	parity._.me.hebbian.network.best.quality.increase.min	parity._.me.hebbian.network.best.quality.increase.max	parity._.me.hebbian.layer.best.quality.increase	parity._.me.hebbian.layer.best.quality.increase.min	parity._.me.hebbian.layer.best.quality.increase.max	parity._.me.hebbian.neuron.best.quality.increase	parity._.me.hebbian.neuron.best.quality.increase.min	parity._.me.hebbian.neuron.best.quality.increase.max	parity._.me.hebbian.synapse.best.quality.increase	parity._.me.hebbian.synapse.best.quality.increase.min	parity._.me.hebbian.synapse.best.quality.increase.max	parity._.me.freeForm.best.quality.increase	parity._.me.freeForm.best.quality.increase.min	parity._.me.freeForm.best.quality.increase.max
4.300e+03	2.053e-01	5.367e-02	2.771e-01	1.147e-01	8.563e-02	1.885e-01	2.667e-01	1.924e-01	3.800e-01	3.025e-01	2.342e-01	4.703e-01	2.913e-01	1.852e-01	3.774e-01
4.400e+03	2.053e-01	5.367e-02	2.771e-01	1.147e-01	8.563e-02	1.885e-01	2.667e-01	1.924e-01	3.800e-01	3.025e-01	2.342e-01	4.649e-01	2.913e-01	1.852e-01	3.774e-01
4.500e+03	2.053e-01	5.367e-02	2.771e-01	9.938e-02	8.563e-02	1.885e-01	2.737e-01	1.985e-01	3.958e-01	3.025e-01	2.342e-01	4.649e-01	2.913e-01	1.852e-01	3.774e-01
4.600e+03	2.053e-01	5.367e-02	2.771e-01	9.938e-02	8.563e-02	1.885e-01	2.757e-01	1.924e-01	4.244e-01	3.025e-01	2.342e-01	4.649e-01	2.913e-01	1.852e-01	3.774e-01
4.700e+03	2.053e-01	5.367e-02	2.771e-01	9.938e-02	8.563e-02	1.885e-01	2.757e-01	1.924e-01	4.244e-01	3.025e-01	2.342e-01	4.627e-01	2.816e-01	2.081e-01	3.765e-01
4.800e+03	2.053e-01	5.367e-02	2.771e-01	9.938e-02	8.563e-02	1.885e-01	2.757e-01	1.924e-01	4.027e-01	2.941e-01	2.342e-01	4.627e-01	2.816e-01	2.081e-01	3.765e-01
4.900e+03	2.053e-01	5.367e-02	2.771e-01	1.062e-01	8.780e-02	1.885e-01	2.757e-01	1.924e-01	4.027e-01	2.941e-01	2.441e-01	4.627e-01	2.816e-01	2.081e-01	3.765e-01
5.000e+03	2.053e-01	5.367e-02	2.771e-01	9.938e-02	8.563e-02	1.723e-01	2.737e-01	1.890e-01	3.958e-01	2.941e-01	2.441e-01	4.627e-01	2.816e-01	2.081e-01	3.765e-01
5.100e+03	2.053e-01	5.367e-02	2.771e-01	9.938e-02	8.563e-02	1.723e-01	2.737e-01	1.924e-01	3.958e-01	3.025e-01	2.441e-01	4.627e-01	2.913e-01	1.852e-01	3.774e-01
5.200e+03	2.053e-01	5.367e-02	2.771e-01	9.938e-02	8.563e-02	1.723e-01	2.737e-01	1.924e-01	3.958e-01	2.941e-01	2.441e-01	4.627e-01	2.913e-01	1.852e-01	3.765e-01
